"year","Austria","Belgium","Denmark","Finland","France","Germany","Italy","Netherlands","Norway","Sweden","Switzerland","UK","12 W. Europe","Ireland","Greece","Portugal","Spain","14 small WEC","30 W. Europe","Australia","N. Zealand","Canada","USA","W. Offshoots","Albania","Bulgaria","Czecho-slovakia","Hungary","Poland","Romania","Yugoslavia","7 E. Europe","Bosnia","Croatia","Macedonia","Slovenia","Serbia/Montenegro/Kosovo","F. Yugoslavia","Czech Rep.","Slovakia","F. Czecho-slovakia","Armenia","Azerbaijan","Belarus","Estonia","Georgia","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Moldova","Russia","Tajikistan","Turk-menistan","Ukraine","Uzbekistan","F. USSR","Argentina","Brazil","Chile","Colombia","Mexico","Peru","Uruguay","Venezuela","8 L. America","Bolivia","Costa Rica","Cuba","Dominican Rep.","Ecuador","El Salvador","Guatemala","Haïti","Honduras","Jamaica","Nicaragua","Panama","Paraguay","Puerto Rico","T. & Tobago","15 L. America","21 Caribbean","L. America","China","India","Indonesia (& Timor until '99)","Japan","Philippines","S. Korea","Thailand","Taiwan","Bangladesh","Burma","Hong Kong","Malaysia","Nepal","Pakistan","Singapore","Sri Lanka","16 E. Asia","Afghanistan","Cambodia","Laos","Mongolia","North Korea","Vietnam","24 Sm. E. Asia","30 E. Asia","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","UAE","Yemen","W. Bank & Gaza","15 W. Asia","Asia","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Centr. Afr. Rep.","Chad","Comoro Islands","Congo 'Brazzaville'","Côte d'Ivoire","Djibouti","Egypt","Equatorial Guinea","Eritrea & Ethiopia","Gabon","Gambia","Ghana","Guinea","Guinea Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","S. Tomé & P.","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Zaire (Congo-Kinshasa)","Zambia","Zimbabwe","3 Small Afr.","Total Africa","...182","World Total"
1889,12499.383,20443.304,5461.56,3092.276,92906.427,112020.704,49686.0214786533,15707,3323.3099424613,8308,8766,149595.588,481809.573421115,NA,NA,5425,28823,NA,NA,14345,2428.02,10893.792,211678,239344.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11001,4781.23268048711,NA,NA,NA,1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155063,25316,37016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,13179.462,20896.162,5788.32,3264.779,95073.762,115580.684,52862.7252530712,15070,3413.8457559767,8456,9389,150269.442,493244.182009048,NA,5280,5671,28839,2253,535287.182009048,13850,2497.392,11696.86,214713.945,242758.197,434,3896,16936,9751,29345,12925,8169,81456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7265.07589224668,11267,5128.03971699595,NA,11860,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205379,163341,24815,40555.598,NA,NA,5229,NA,NA,NA,NA,NA,NA,NA,NA,3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,13648.482,20928.509,5905.02,3232.834,97241.097,115343.352,52648.482654057,14783,3446.8167780464,8802,8856,150269.442,495105.035432103,NA,NA,5572,29495,NA,NA,14914,2514.735,11976.188,224026.839,253431.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11232,5546.53225880944,NA,NA,NA,1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148317,25362,38620.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,13953.345,21446.061,6045.06,3136.999,99697.41,120089.992,49688.4607756954,15006,3512.6819666565,8774,9627,146675.554,497652.563742352,NA,NA,5548,31707,NA,NA,13081,2607.231,11906.356,245756.925,273351.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10865,5435.61228052039,NA,NA,NA,1668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160224,26411,41200.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,14047.149,21769.531,6161.76,3258.39,101431.278,126023.292,51967.127522147,15157,3605.9845792267,9030,10014,146675.554,509141.066101374,NA,NA,5660,30597,NA,NA,12362,2670.822,11836.524,233857.116,260726.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9474,5705.63473635815,NA,NA,NA,1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164280,27187,41343.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,14867.934,22093.001,6290.13,3513.95,105187.992,129108.608,51234.6369144155,15524,3627.9652606065,9155,9783,156558.746,526944.963175022,NA,NA,5587,30939,NA,NA,12784,2584.107,12395.18,227131.137,254894.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9695,5611.73303661492,NA,NA,NA,2046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166799,27643,46287.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,15266.601,22610.553,6640.23,3705.62,103020.657,135279.24,52027.2040622317,16015,3671.8497678368,9611,10861,161500.342,540209.296830068,NA,NA,5827,30668,NA,NA,12066,2676.603,12255.516,254552.436,281550.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12519,6005.56668612167,NA,14337,NA,2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162696,28281,46932.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,15501.111,23063.411,6885.3,3948.402,107933.283,140025.88,53456.1687334325,15405,3776.1427210969,10129,11142,168238.882,559504.580454529,NA,NA,5908,28224,NA,NA,12982,2982.996,11941.272,249378.606,277284.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11616,6039.41919382522,NA,NA,1934,2155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150699,28099,44353.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,15829.425,23483.922,7048.68,4140.072,106488.393,144060.524,51091.0103606246,16959,3976.4282304527,10580,11716,170485.062,565858.516591077,NA,NA,6251,29659,NA,NA,12264,3017.682,13233.164,273178.224,301693.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11712,5905.61866373269,NA,NA,2114,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178236,28509,45284.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,16720.563,23872.086,7165.38,4318.964,111689.997,150231.156,55645.7432089212,17310,4009.3992525224,10958,11927,178795.928,592644.216461443,NA,NA,6469,31945,NA,NA,14172,3104.397,13756.904,278869.437,309902.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12300,6621.45550594681,NA,NA,2251,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178599,28874,53883.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,17072.328,24357.291,7468.8,4216.74,118047.513,155689.792,56944.0493708959,17566,4132.9060881075,11344,12513,186208.322,615560.741459003,NA,NA,6701,32457,NA,NA,14172,3208.455,15048.796,304221.204,336650.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12347,6662.81279291411,NA,NA,2376,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164690,30608,49870.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,17213.034,25068.925,7725.54,4414.799,116747.112,162335.088,60113.6158420187,17604,4185.0141369729,11303,12649,184860.614,624219.741978992,NA,6704,7037,33164,2862,673986.741978992,15014,3468.6,15886.78,312499.332,346868.712,548,4892,20994,11990,38016,15565,10079,102084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154049,12931.8350881991,12201,6492.11301233034,3890.66090747618,18585,2502,2030,2087.45006812931,60720.0590761349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9974,1217,71911.0590761349,218154,170466,31748,52020.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5048,500686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66136,NA,1971880.51305513
1901,17283.387,25295.354,8052.3,4363.687,114868.755,158537.776,64016.0271188125,17958,4289.307090233,11591,12511,184860.614,623627.207209046,NA,NA,6914,35471,NA,NA,14568,3480.162,17143.756,347681.376,382873.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14036.1266238206,13425,6654.68319249602,4169,20167,2685,2077,2052.55348644326,65266.3633027599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173957,31352,53883.056,NA,NA,NA,1766,NA,7332,NA,NA,NA,NA,NA,4804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,17963.466,25812.906,8239.02,4274.241,112990.398,162335.088,62231.1026723738,18796,4355.1722788431,11614,12801,189577.592,630989.985951217,NA,NA,6954,34440,NA,NA,14717,3746.088,18819.724,351303.057,388585.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13745.5235881307,13425,6945.3504318145,4245,18741,2832,2431,2233.38122790734,64598.2552478526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188504,30904,51088.589,5119,NA,NA,1810,NA,NA,NA,NA,NA,NA,NA,4785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,18127.623,26395.152,8729.16,4561.746,115446.711,171353.704,65196.2205808424,19197,4327.734854883,12056,12554,187556.03,645501.081435725,NA,NA,7054,34600,NA,NA,15881,4098.729,19378.38,368376.696,407734.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15721.6242308218,13693,6555.0432632599,4374,20840,3024,2513,2414.20896937143,69134.8764634532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191141,32637,54671.239,6232,NA,NA,2164,NA,NA,NA,NA,NA,NA,NA,5093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,18409.035,27074.439,8915.88,4734.249,116313.645,178236.332,65805.2495105269,19334,4335.9583965181,12547,13223,188679.12,657607.907907045,NA,NA,7148,34485,NA,NA,16947,4081.386,19657.708,363720.249,404406.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17407.1218378231,13961,7091.86834068941,4503,21203,3126,2579,2357.10547206698,72228.0956505794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192060,33314,55101.157,5367,NA,NA,2094,NA,NA,NA,NA,NA,NA,NA,5144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,19440.879,27850.767,9067.59,4810.917,118336.491,182033.644,69477.012157982,19953,4368.8525630585,12488,13543,194294.57,675664.722721041,NA,NA,6950,34005,NA,NA,17145,4457.151,21962.164,390624.165,434188.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19702.885819773,14365,7084.69286913051,4656,23407,3355,2318,2328.55372341476,77217.1324123183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188587,33823,54169.668,5711,NA,NA,1738,NA,NA,NA,NA,NA,NA,NA,5167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,20191.311,28433.013,9324.33,5002.587,120503.826,187492.28,72087.4027684405,20661,4550.0010456186,13524,14972,200808.492,697550.242814059,NA,NA,6997,35760,NA,NA,18309,4879.164,24161.872,435636.486,482986.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20690.9361411186,15735,7638.53162277534,4977,23147,3623,2556,2173.10531408598,80540.5730779799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193979,34869,61263.315,5932,NA,NA,1852,NA,6385,NA,NA,NA,NA,NA,5307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,21434.214,28853.524,9674.43,5175.09,125705.43,195798.9,80214.2943092961,20679,4747.5966114489,14410,15110,204626.998,726429.476920745,NA,NA,7165,36885,NA,NA,19052,5173.995,25558.512,442362.465,492146.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21126.8406946534,15754,8042.37994343921,5069,24495,3850,2829,2173.10531408598,83339.3259521786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182234,35698,63197.946,6252,NA,NA,2069,NA,NA,NA,NA,NA,NA,NA,5509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,21528.018,29144.647,9977.85,5232.591,124982.985,199121.548,82149.292069464,20694,4898.5408709941,14169,14873,196316.132,723087.603940458,NA,NA,7052,38331,NA,NA,19697,4815.573,24336.452,406145.655,454994.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23190.1222480514,15639,8896.13868078827,5148,24469,3923,3101,2322.20889038093,86688.4698192206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184844,35800,63627.864,6610,NA,NA,2153,NA,NA,NA,NA,NA,NA,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,21457.665,29694.546,10362.96,5462.595,130184.589,203156.192,88493.7151929547,21457,5005.5237677797,14271,15648,200808.492,746002.277960734,NA,NA,7048,38998,NA,NA,21307,4884.945,26920.236,455814.423,508926.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24352.5343908109,16886,8941.06632425843,5421,25195,3989,3140,2404.69171982069,90329.29243489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210241,37659,63556.211,6734,NA,NA,2430,NA,NA,NA,NA,NA,NA,NA,5286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
